"Observed" "Predicted" "Observed_class" "Predicted_class" "Variety"
"S166.10.O.2.16S_000000000.J52V7" 0.908909365 0.0289144214396665 "H" "M" "F"
"S180.10.O.4.16S_000000000.J52V7" 0.908909365 0.116160099688183 "H" "H" "F"
"S78.10.O.3.16S_000000000.J53BN" 0.908909365 0.0487203645817667 "H" "M" "F"
"S112.17.O.2.16S_000000000.J58CV" 0.908151733 -0.03642359031135 "H" "M" "C"
"S150.17.O.3.16S_000000000.J52V7" 0.908151733 0.124233852347733 "H" "H" "E"
"S24.17.O.1.16S_000000000.J59B3" 0.908151733 0.13147439389785 "H" "H" "D"
"X61.19.2.O.16S_000000000.JCCFG" 0.547396585 0.265974644544183 "M" "H" "D"
"S89.19.O.1.16S_000000000.J53BN" 0.547396585 0.163389903891716 "M" "H" "D"
"S138.19.O.3.16S_000000000.J58CV" 0.547396585 0.29135930122165 "M" "H" "D"
"S160.19.O.4.16S_000000000.J52V7" 0.547396585 0.237720573335883 "M" "H" "F"
"X57.2.1.O.16S_000000000.JCCFG" 0.440388362 -0.0408294284896834 "M" "M" "E"
"S42.2.O.4.16S_000000000.J59B3" 0.440388362 0.0116295662769334 "M" "M" "D"
"S173.2.O.2.16S_000000000.J52V7" 0.440388362 -0.0476456779499667 "M" "M" "F"
"S185.2.O.3.16S_000000000.J52V7" 0.440388362 -0.101761220956517 "M" "L" "A"
"S158.23.O.2.16S_000000000.J52V7" -1.608604111 -0.27167307803025 "L" "L" "D"
"S164.23.O.4.16S_000000000.J52V7" -1.608604111 0.06897191240605 "L" "M" "E"
"S3.23.O.1.16S_000000000.J59B3" -1.608604111 -0.0233280326661499 "L" "M" "A"
"S36.23.O.3.16S_000000000.J59B3" -1.608604111 0.0261493962898 "L" "M" "B"
"S116.26.O.1.16S_000000000.J58CV" -0.857760114 -0.199872931253617 "L" "L" "B"
"S59.26.O.4.16S_000000000.J53BN" -0.857760114 -0.246629963118767 "L" "L" "C"
"S85.26.O.3.16S_000000000.J53BN" -0.857760114 -0.1726466822648 "L" "L" "B"
"S31.28.O.3.16S_000000000.J59B3" 1.440203109 0.13918672727525 "H" "H" "A"
"S65.28.O.2.16S_000000000.J53BN" 1.440203109 -0.10588499852395 "H" "L" "B"
"S91.28.O.4.16S_000000000.J53BN" 1.440203109 -0.00785763430509999 "H" "M" "B"
"X32.30.2.O.16S_000000000.J99GR" 0.821051421 -0.112109678093017 "H" "L" "E"
"S122.30.O.4.16S_000000000.J58CV" 0.821051421 -0.1259512300522 "H" "L" "D"
"S25.6.O.1.16S_000000000.J59B3" -0.445508171 -0.227392730443067 "L" "L" "C"
"S183.6.O.2.16S_000000000.J52V7" -0.445508171 -0.209499539542666 "L" "L" "B"
"S187.6.O.3.16S_000000000.J52V7" -0.445508171 -0.321660760101817 "L" "L" "B"
"S14.8.O.3.16S_000000000.J59B3" -1.9096732 -0.3029455910502 "L" "L" "B"
"S22.8.O.4.16S_000000000.J59B3" -1.9096732 -0.29113815666485 "L" "L" "D"
"S64.8.O.1.16S_000000000.J53BN" -1.9096732 -0.45757179377385 "L" "L" "C"
"X58.31.2.O.16S_000000000.JCCFG" -0.11769207 -0.2334715446645 "M" "L" "C"
"S56.31.O.3.16S_000000000.J53BN" -0.11769207 -0.189390810869533 "M" "L" "A"
"S123.31.O.4.16S_000000000.J58CV" -0.11769207 -0.181061723903983 "M" "L" "A"
"S28.31.O.1.16S_000000000.J59B3" -0.11769207 -0.284320584063767 "M" "L" "F"
"X15.34.3.O.16S_000000000.J99GR" -0.188682779 0.0556554735737667 "M" "M" "F"
"S48.34.O.4.16S_000000000.J59B3" -0.188682779 -0.0486247153492167 "M" "M" "D"
"S124.34.O.2.16S_000000000.J58CV" -0.188682779 -0.102052589037217 "M" "L" "B"
"S167.34.O.1.16S_000000000.J52V7" -0.188682779 0.135519395643433 "M" "H" "D"
"S77.38.O.4.16S_000000000.J53BN" 0.960268739 0.1302023297002 "H" "H" "C"
"S131.38.O.1.16S_000000000.J58CV" 0.960268739 0.134169269991383 "H" "H" "F"
"X37.47.4.O.16S_000000000.J99GR" 0.219212724 -0.05816775009305 "M" "M" "C"
