,Variety,Batch,47,47_method2,47_method1
0,CHALLENGER,1,603.593594481329,-2.0692278776903406,-1.7179701864258627
1,CHALLENGER,10,705.049380574822,-0.2794498670859502,-1.2516215450502735
2,CHALLENGER,11,782.69583581312,1.090308562056978,-0.8947141639902869
3,CHALLENGER,12,813.992346869709,1.6424092302840478,-0.7508575543969532
4,CHALLENGER,13,738.980311182532,0.31912450525256153,-1.095655641095488
5,CHALLENGER,14,742.422172092475,0.37984225442556674,-1.0798348858585562
6,CHALLENGER,15,808.600254487031,1.5472875152073806,-0.7756426854738178
7,CHALLENGER,16,621.30832839772,-1.7567228698631148,-1.6365431686841032
8,CHALLENGER,17,688.984710352105,-0.5628461584096833,-1.3254639292156003
9,CHALLENGER,18,732.918691550361,0.21219168314313555,-1.1235183011649057
10,CHALLENGER,19,705.134092661185,-0.27795546410271027,-1.2512321599998524
11,CHALLENGER,2,628.078589167055,-1.6372889339824417,-1.605423189892274
12,CHALLENGER,20,676.219902471392,-0.7880296923821747,-1.3841382645275884
13,CHALLENGER,21,696.810665198197,-0.42478875986357395,-1.2894913785068758
14,CHALLENGER,22,723.092708308071,0.038851852890262106,-1.1686841227672198
15,CHALLENGER,23,825.125539519809,1.8388094964513155,-0.6996830530061466
16,CHALLENGER,24,680.040345208457,-0.7206333943014406,-1.3665773313518137
17,CHALLENGER,25,747.778690096711,0.47433640312353853,-1.0552132749089609
18,CHALLENGER,27,761.287562893146,0.7126459605186274,-0.9931187929902294
19,CHALLENGER,28,789.871107189092,1.2168872760299745,-0.861732525519691
20,CHALLENGER,29,803.042071174529,1.4492357957868929,-0.8011912651665829
21,CHALLENGER,3,650.306522274389,-1.2451667354512423,-1.5032509353139076
22,CHALLENGER,30,709.374600601986,-0.2031488103033402,-1.2317403676331502
23,CHALLENGER,4,713.362653637646,-0.13279570474688865,-1.213409001956283
24,CHALLENGER,5,693.140673522305,-0.4895309559819866,-1.3063607528206758
25,CHALLENGER,6,696.788015123662,-0.42518832904441667,-1.2895954911641536
26,CHALLENGER,7,683.36252445388,-0.6620269452294756,-1.3513067012856141
27,CHALLENGER,8,727.288151472712,0.11286352053330215,-1.1493994738069737
28,CHALLENGER,9,757.169901744942,0.6400064427351446,-1.0120459114528513
29,COLOMBA,31,1387.91058624712,0.8879497562254799,1.8871979129145529
30,COLOMBA,32,1260.76973859257,-0.41996308835072016,1.3027860833871399
31,COLOMBA,33,1491.82660231537,1.9569460283137092,2.364855174038475
32,COLOMBA,34,1203.71978205039,-1.0068426972295994,1.0405519541333874
33,COLOMBA,35,1332.687117114,0.31985943801782085,1.6333593612271695
34,COLOMBA,36,1395.54065048853,0.966441123951741,1.9222700387104248
35,COLOMBA,37,1423.41109028949,1.2531476142113158,2.0503784713210655
36,COLOMBA,38,1297.76762939798,-0.039361436723366866,1.4728494851429117
37,COLOMBA,39,1243.99589207432,-0.5925176191634934,1.2256839206063983
38,COLOMBA,40,1249.1654987892,-0.5393372672267961,1.2494463806962428
39,COLOMBA,41,1054.06110901992,-2.5463990583026472,0.3526353598691839
40,COLOMBA,42,1425.5664853814,1.2753204168774217,2.0602858961357886
41,COLOMBA,43,1227.2402102208,-0.7648852879350241,1.1486652529819619
42,COLOMBA,44,1394.55349989182,0.9562861897289002,1.9177325317102363
43,COLOMBA,45,1271.40361243393,-0.31057117818737967,1.3516654308292635
44,COLOMBA,46,1367.66223709915,0.6796526084508342,1.7941249549409908
45,COLOMBA,47,1187.09765810952,-1.1778364400546542,0.9641471948281063
46,COLOMBA,48,1321.32129625477,0.20293790284503582,1.5811155679462634
47,COLOMBA,49,1333.13492868578,0.32446612829467264,1.6354177585461696
48,COLOMBA,50,1210.66149279303,-0.9354325028576057,1.0724600147605983
49,COLOMBA,51,1109.45622985789,-1.9765429388304165,0.6072629206651554
50,COLOMBA,52,1244.01872864525,-0.5922826966740155,1.225788890507445
51,COLOMBA,53,1271.3508907034,-0.31111353282651094,1.3514230916946477
52,COLOMBA,54,1312.09868514664,0.10806381830511994,1.5387231887058281
53,COLOMBA,55,1301.38410042197,-0.0021583742019812163,1.489472848023938
54,COLOMBA,56,1248.71995750082,-0.5439206028314509,1.2473984188942295
55,COLOMBA,57,1447.54772227411,1.5014439845742633,2.16132419424945
56,COLOMBA,58,1393.65976749892,0.9470922595494851,1.9136244280403467
57,COLOMBA,59,1367.62008481913,0.6792189829914844,1.7939311990274533
58,COLOMBA,60,1272.46412789885,-0.2996615309416005,1.3565401645952357
59,FESTIEN,151,642.768376296293,-2.008335034250378,-1.537900552361243
60,FESTIEN,152,750.943855963519,-0.33438488012379597,-1.0406643678574292
61,FESTIEN,153,736.724975973091,-0.5544134524463238,-1.1060224476746627
62,FESTIEN,154,780.966534872106,0.1301979268202831,-0.9026630171353234
63,FESTIEN,155,684.846961275381,-1.3571943688439894,-1.3444833832515206
64,FESTIEN,156,800.295445017111,0.42930112669389364,-0.8138163250690139
65,FESTIEN,157,711.0101734026,-0.952334477235174,-1.2242223424637002
66,FESTIEN,158,742.693509477472,-0.462054004535363,-1.0785876645248103
67,FESTIEN,159,720.483267525084,-0.8057440723192988,-1.1806786004678278
68,FESTIEN,160,737.447280860265,-0.5432362209616028,-1.1027023225663506
69,FESTIEN,161,758.704568819574,-0.21429254014537422,-1.004991706534869
70,FESTIEN,162,671.139579943844,-1.5693078086289025,-1.4074903235840188
71,FESTIEN,163,749.937553918953,-0.349956795938555,-1.0452899058318175
72,FESTIEN,164,739.221295787411,-0.5157844123830396,-1.0945479384458412
73,FESTIEN,165,756.766645372494,-0.24428073398471975,-1.0138995076710486
74,FESTIEN,166,751.642168917938,-0.32357890929497096,-1.0374545233518813
75,FESTIEN,167,905.481940814341,2.056998562318525,-0.33031921470318654
76,FESTIEN,168,787.788357328106,0.2357615054313907,-0.8713060314319209
77,FESTIEN,169,897.71874020846,1.9368677259154277,-0.3660033111424232
78,FESTIEN,170,749.006110556463,-0.36437031890139937,-1.0495713506201434
79,FESTIEN,171,702.711994313915,-1.0807437822570276,-1.2623655050462013
80,FESTIEN,172,827.260697677447,0.8465721107069857,-0.6898686486801193
81,FESTIEN,173,787.849961769213,0.2367147969166988,-0.871022862294712
82,FESTIEN,174,819.275548430885,0.7230067532606821,-0.7265729476235416
83,FESTIEN,175,773.748923729337,0.018509757541710928,-0.9358392733155858
84,FESTIEN,176,782.622579935192,0.155824223067096,-0.8950508897745907
85,FESTIEN,177,835.494382077784,0.9739833994146769,-0.6520219404591195
86,FESTIEN,178,916.142448020496,2.221963466894929,-0.28131744513054
87,FESTIEN,179,800.392551363109,0.4308037886959485,-0.8133699689342995
88,FESTIEN,180,855.496667108009,1.2835066685716996,-0.5600800334725948
89,INNOVATOR,61,1070.70779235773,-0.42655364598351553,0.4291530081661825
90,INNOVATOR,62,1053.39444871292,-0.6561080444389963,0.34957100897901383
91,INNOVATOR,63,1110.25709869249,0.09782323991794148,0.6109441704717612
92,INNOVATOR,64,1220.38016748462,1.5579244965707313,1.117132585078251
93,INNOVATOR,65,1206.69924696201,1.37653171968639,1.0542472737111177
94,INNOVATOR,66,1102.29571691526,-0.007735238111475467,0.5743491203692253
95,INNOVATOR,67,1097.3773377969,-0.0729471107025661,0.551741445559002
96,INNOVATOR,68,1115.4378276457,0.1665135601017911,0.6347577547106955
97,INNOVATOR,69,1141.08445635035,0.5065574329369342,0.7526442835406637
98,INNOVATOR,70,1127.2189618894,0.3227174245844589,0.6889105651117696
99,INNOVATOR,71,1111.81688530446,0.11850416006689238,0.6181138391061128
100,INNOVATOR,72,916.413250820349,-2.4723162320103262,-0.2800726810549277
101,INNOVATOR,73,1126.89376383144,0.3184056841081336,0.6874157694145799
102,INNOVATOR,74,918.822850075602,-2.440367804317437,-0.2689967889622744
103,INNOVATOR,75,1080.10623040935,-0.30194150649032037,0.47235358829264895
104,INNOVATOR,76,1144.24927617653,0.5485191895059214,0.7671915999921624
105,INNOVATOR,77,1140.84767283164,0.5034179643676775,0.7515558914784433
106,INNOVATOR,78,1077.82799979802,-0.33214814180327884,0.46188154139179566
107,INNOVATOR,79,1247.4342115614,1.9166290276677562,1.241488397444588
108,INNOVATOR,80,1103.15240383616,0.003623414198922811,0.5782869419270585
109,INNOVATOR,81,1024.83966601607,-1.0347105893591542,0.21831694621733114
110,INNOVATOR,82,1056.98146004919,-0.6085485292787177,0.36605895833782975
111,INNOVATOR,83,1077.69839070483,-0.333866604627791,0.46128578409843224
112,INNOVATOR,84,1214.04233167911,1.4738923121648293,1.08800027798206
113,INNOVATOR,85,1008.69906392173,-1.2487158260417934,0.14412553587486898
114,INNOVATOR,86,1050.44431140107,-0.6952233655390754,0.33601049577196224
115,INNOVATOR,87,1135.13124633466,0.427624930234577,0.725279935882048
116,INNOVATOR,88,1161.44061211889,0.77645591056081,0.8462127822120012
117,INNOVATOR,89,1184.61211198452,1.083682511157998,0.952722207618388
118,INNOVATOR,90,1060.0668182856,-0.5676403391272985,0.3802410240149994
