SampleID	Year_Plot	SampleName	SampleNo	SampleType	LibraryType	Year	TubeName	Seedlot	OriginalNo	RepNo	VarietyFullName	Variety	Plot.x	Location	PreCrop	PreCrop_clean	SoilType	Plot.y	M_52	M_52_method2	X52_method1	M_class1	M_class2	S_48	S_48_method2	S_48_method1	V_50	V_50_method2	V_50_method1
S105.10.O.1.16S_000000000.J58CV	2019_A_10	105-10-O-1-16S	105	eye	16S	2018-2019	10-O-1	10	10	1	Challenger	A	A_10	MIDLUM	Tarwe	Wheat	Clay	A_10	1108.982851	1.542459025	-0.505074923	High	High	1011.30107	1.334392634	-0.70186728	1064.618772	0.908909365	-0.354698571
S166.10.O.2.16S_000000000.J52V7	2019_A_10	166-10-O-2-16S	166	eye	16S	2018-2019	10-O-2	10	10	2	Challenger	A	A_10	MIDLUM	Tarwe	Wheat	Clay	A_10	1108.982851	1.542459025	-0.505074923	High	High	1011.30107	1.334392634	-0.70186728	1064.618772	0.908909365	-0.354698571
S180.10.O.4.16S_000000000.J52V7	2019_A_10	180-10-O-4-16S	180	eye	16S	2018-2019	10-O-4	10	10	4	Challenger	A	A_10	MIDLUM	Tarwe	Wheat	Clay	A_10	1108.982851	1.542459025	-0.505074923	High	High	1011.30107	1.334392634	-0.70186728	1064.618772	0.908909365	-0.354698571
S78.10.O.3.16S_000000000.J53BN	2019_A_10	78-10-O-3-16S	78	eye	16S	2018-2019	10-O-3	10	10	3	Challenger	A	A_10	MIDLUM	Tarwe	Wheat	Clay	A_10	1108.982851	1.542459025	-0.505074923	High	High	1011.30107	1.334392634	-0.70186728	1064.618772	0.908909365	-0.354698571
S112.17.O.2.16S_000000000.J58CV	2019_A_17	112-17-O-2-16S	112	eye	16S	2018-2019	17-O-2	17	17	2	Challenger	A	A_17	ABBENES	NA	Unknown	Clay	A_17	953.6784184	0.149955152	-1.069623646	Middle	Middle	948.8289227	0.573034579	-0.936473918	1064.579653	0.908151733	-0.355058257
S150.17.O.3.16S_000000000.J52V7	2019_A_17	150-17-O-3-16S	150	eye	16S	2018-2019	17-O-3	17	17	3	Challenger	A	A_17	ABBENES	NA	Unknown	Clay	A_17	953.6784184	0.149955152	-1.069623646	Middle	Middle	948.8289227	0.573034579	-0.936473918	1064.579653	0.908151733	-0.355058257
S24.17.O.1.16S_000000000.J59B3	2019_A_17	24-17-O-1-16S	24	eye	16S	2018-2019	17-O-1	17	17	1	Challenger	A	A_17	ABBENES	NA	Unknown	Clay	A_17	953.6784184	0.149955152	-1.069623646	Middle	Middle	948.8289227	0.573034579	-0.936473918	1064.579653	0.908151733	-0.355058257
S44.17.O.4.16S_000000000.J59B3	2019_A_17	44-17-O-4-16S	44	eye	16S	2018-2019	17-O-4	17	17	4	Challenger	A	A_17	ABBENES	NA	Unknown	Clay	A_17	953.6784184	0.149955152	-1.069623646	Middle	Middle	948.8289227	0.573034579	-0.936473918	1064.579653	0.908151733	-0.355058257
X61.19.2.O.16S_000000000.JCCFG	2019_A_19	61-19-2-O-16S	X61	eye	16S	2018-2019	19-O-2	19	19	2	Challenger	A	A_19	Pingjum	Grasland	Grass	Clay	A_19	1114.520058	1.592107204	-0.484946565	High	High	986.2982458	1.029679218	-0.795762379	1045.952828	0.547396585	-0.526326809
S89.19.O.1.16S_000000000.J53BN	2019_A_19	89-19-O-1-16S	89	eye	16S	2018-2019	19-O-1	19	19	1	Challenger	A	A_19	Pingjum	Grasland	Grass	Clay	A_19	1114.520058	1.592107204	-0.484946565	High	High	986.2982458	1.029679218	-0.795762379	1045.952828	0.547396585	-0.526326809
