SampleID,SampleName,SampleNo,SampleType,LibraryType,Year,TubeName,Seedlot,OriginalNo,RepNo,Variety,Plot,SoilType,M_52,M_52_method2
S78.10.O.3.16S_000000000.J53BN,78-10-O-3-16S,78,eye,16S,2018-2019,10-O-3,10,10,3,A,A_10,Clay,1108.982851,1.542459025
S105.10.O.1.16S_000000000.J58CV,105-10-O-1-16S,105,eye,16S,2018-2019,10-O-1,10,10,1,A,A_10,Clay,1108.982851,1.542459025
S166.10.O.2.16S_000000000.J52V7,166-10-O-2-16S,166,eye,16S,2018-2019,10-O-2,10,10,2,A,A_10,Clay,1108.982851,1.542459025
S180.10.O.4.16S_000000000.J52V7,180-10-O-4-16S,180,eye,16S,2018-2019,10-O-4,10,10,4,A,A_10,Clay,1108.982851,1.542459025
S24.17.O.1.16S_000000000.J59B3,24-17-O-1-16S,24,eye,16S,2018-2019,17-O-1,17,17,1,A,A_17,Clay,953.6784184,0.149955152
S44.17.O.4.16S_000000000.J59B3,44-17-O-4-16S,44,eye,16S,2018-2019,17-O-4,17,17,4,A,A_17,Clay,953.6784184,0.149955152
S112.17.O.2.16S_000000000.J58CV,112-17-O-2-16S,112,eye,16S,2018-2019,17-O-2,17,17,2,A,A_17,Clay,953.6784184,0.149955152
S150.17.O.3.16S_000000000.J52V7,150-17-O-3-16S,150,eye,16S,2018-2019,17-O-3,17,17,3,A,A_17,Clay,953.6784184,0.149955152
S89.19.O.1.16S_000000000.J53BN,89-19-O-1-16S,89,eye,16S,2018-2019,19-O-1,19,19,1,A,A_19,Clay,1114.520058,1.592107204
S138.19.O.3.16S_000000000.J58CV,138-19-O-3-16S,138,eye,16S,2018-2019,19-O-3,19,19,3,A,A_19,Clay,1114.520058,1.592107204
S160.19.O.4.16S_000000000.J52V7,160-19-O-4-16S,160,eye,16S,2018-2019,19-O-4,19,19,4,A,A_19,Clay,1114.520058,1.592107204
61.19.2.O.16S_000000000.JCCFG,61-19-2-O-16S,X61,eye,16S,2018-2019,19-O-2,19,19,2,A,A_19,Clay,1114.520058,1.592107204
S42.2.O.4.16S_000000000.J59B3,42-2-O-4-16S,42,eye,16S,2018-2019,2-O-4,2,2,4,A,A_2,Clay,850.3459736,-0.776553044
S173.2.O.2.16S_000000000.J52V7,173-2-O-2-16S,173,eye,16S,2018-2019,2-O-2,2,2,2,A,A_2,Clay,850.3459736,-0.776553044
S185.2.O.3.16S_000000000.J52V7,185-2-O-3-16S,185,eye,16S,2018-2019,2-O-3,2,2,3,A,A_2,Clay,850.3459736,-0.776553044
57.2.1.O.16S_000000000.JCCFG,57-2-1-O-16S,X57,eye,16S,2018-2019,2-O-1,2,2,1,A,A_2,Clay,850.3459736,-0.776553044
S3.23.O.1.16S_000000000.J59B3,3-23-O-1-16S,3,eye,16S,2018-2019,23-O-1,23,23,1,A,A_23,Clay,862.6269682,-0.66643814
