SampleID,SampleName,SampleNo,SampleType,LibraryType,Year,TubeName,Seedlot,OriginalNo,RepNo,VarietyFullName,Variety,Year_Plot,Plot,Location,PreCrop,PreCrop_clean,SoilType
HeelEye2019.1.12.E.16S_000000000.JMLM7,HeelEye2019-1-12-E-16S,337,Eye,16S,2019-2020,1-12-E,1,1,12,Challenger,A,2020_A_1,A_1,EENUM,NA,Unknown,Clay
HeelEye2019.1.34.E.16S_000000000.JKRF4,HeelEye2019-1-34-E-16S,191,Eye,16S,2019-2020,1-34-E,1,1,34,Challenger,A,2020_A_1,A_1,EENUM,NA,Unknown,Clay
HeelEye2019.10.12.E.16S_000000000.JLB35,HeelEye2019-10-12-E-16S,519,Eye,16S,2019-2020,10-12-E,10,10,12,Challenger,A,2020_A_10,A_10,WARFSTERMOLEN,NA,Unknown,Clay
HeelEye2019.10.34.E.16S_000000000.JMMDW,HeelEye2019-10-34-E-16S,465,Eye,16S,2019-2020,10-34-E,10,10,34,Challenger,A,2020_A_10,A_10,WARFSTERMOLEN,NA,Unknown,Clay
S105.10.O.1.16S_000000000.J58CV,105-10-O-1-16S,105,eye,16S,2018-2019,10-O-1,10,10,1,Challenger,A,2019_A_10,A_10,MIDLUM,Tarwe,Wheat,Clay
S166.10.O.2.16S_000000000.J52V7,166-10-O-2-16S,166,eye,16S,2018-2019,10-O-2,10,10,2,Challenger,A,2019_A_10,A_10,MIDLUM,Tarwe,Wheat,Clay
S180.10.O.4.16S_000000000.J52V7,180-10-O-4-16S,180,eye,16S,2018-2019,10-O-4,10,10,4,Challenger,A,2019_A_10,A_10,MIDLUM,Tarwe,Wheat,Clay
S78.10.O.3.16S_000000000.J53BN,78-10-O-3-16S,78,eye,16S,2018-2019,10-O-3,10,10,3,Challenger,A,2019_A_10,A_10,MIDLUM,Tarwe,Wheat,Clay
HeelEye2019.11.12.E.16S_000000000.JKRF4,HeelEye2019-11-12-E-16S,153,Eye,16S,2019-2020,11-12-E,11,11,12,Challenger,A,2020_A_11,A_11,BRANTGUM,NA,Unknown,Clay
HeelEye2019.11.34.E.16S_000000000.JLHG5,HeelEye2019-11-34-E-16S,307,Eye,16S,2019-2020,11-34-E,11,11,34,Challenger,A,2020_A_11,A_11,BRANTGUM,NA,Unknown,Clay
HeelEye2019.12.12.E.16S_000000000.JMM89,HeelEye2019-12-12-E-16S,211,Eye,16S,2019-2020,12-12-E,12,12,12,Challenger,A,2020_A_12,A_12,HIJUM,Grasland,Grass,Clay
HeelEye2019.12.34.E.16S_000000000.JLHG5,HeelEye2019-12-34-E-16S,317,Eye,16S,2019-2020,12-34-E,12,12,34,Challenger,A,2020_A_12,A_12,HIJUM,Grasland,Grass,Clay
HeelEye2019.13.12.E.16S_000000000.JMLN7,HeelEye2019-13-12-E-16S,535,Eye,16S,2019-2020,13-12-E,13,13,12,Challenger,A,2020_A_13,A_13,MARRUM,NA,Unknown,Clay
HeelEye2019.13.34.E.16S_000000000.JMMDW,HeelEye2019-13-34-E-16S,438,Eye,16S,2019-2020,13-34-E,13,13,34,Challenger,A,2020_A_13,A_13,MARRUM,NA,Unknown,Clay
