SampleID	Year_Plot	SampleName	LocationPlateDNAiso	SampleNoRand	Year	Compartment	LibraryType	PlateX	SampleName2	RunNo	Runcode	Replica	Seedlot	OriginalNo	VarietyFullName	Variety	Plot.x	Location	PreCrop	PreCrop_clean	SoilType	Plot.y	M_52	M_52_method2	X52_method1	M_class1	M_class2	S_48	S_48_method2	S_48_method1	V_50	V_50_method2	V_50_method1
X192.10.1.H.16S_000000000.J9RYW	2019_A_10	192-10-1-H-16S	H12	192	2018-2019	Heel	16S	B	10-1-H	SON5195	J9RYW	1	10	10	Challenger	A	A_10	MIDLUM	Tarwe	Wheat	Clay	A_10	1108.982851	1.542459025	-0.505074923	High	High	1011.30107	1.334392634	-0.70186728	1064.618772	0.908909365	-0.354698571
X63.10.4.H.16S_000000000.JCHFT	2019_A_10	63-10-4-H-16S	F3	63	2018-2019	Heel	16S	A	10-4-H	SON5193	JCHFT	4	10	10	Challenger	A	A_10	MIDLUM	Tarwe	Wheat	Clay	A_10	1108.982851	1.542459025	-0.505074923	High	High	1011.30107	1.334392634	-0.70186728	1064.618772	0.908909365	-0.354698571
X14.10.3.H.16S_000000000.JC8YT	2019_A_10	14-10-3-H-16S	B2	14	2018-2019	Heel	16S	A	10-3-H	SON5064	JC8YT	3	10	10	Challenger	A	A_10	MIDLUM	Tarwe	Wheat	Clay	A_10	1108.982851	1.542459025	-0.505074923	High	High	1011.30107	1.334392634	-0.70186728	1064.618772	0.908909365	-0.354698571
X37.10.2.H.16S_000000000.JC8YT	2019_A_10	37-10-2-H-16S	D1	37	2018-2019	Heel	16S	A	10-2-H	SON5064	JC8YT	2	10	10	Challenger	A	A_10	MIDLUM	Tarwe	Wheat	Clay	A_10	1108.982851	1.542459025	-0.505074923	High	High	1011.30107	1.334392634	-0.70186728	1064.618772	0.908909365	-0.354698571
X167.17.4.H.16S_000000000.J9RYW	2019_A_17	167-17-4-H-16S	F11	167	2018-2019	Heel	16S	B	17-4-H	SON5195	J9RYW	4	17	17	Challenger	A	A_17	ABBENES	NA	Unknown	Clay	A_17	953.6784184	0.149955152	-1.069623646	Middle	Middle	948.8289227	0.573034579	-0.936473918	1064.579653	0.908151733	-0.355058257
X38.17.1.H.16S_000000000.JC8YT	2019_A_17	38-17-1-H-16S	D2	38	2018-2019	Heel	16S	A	17-1-H	SON5064	JC8YT	1	17	17	Challenger	A	A_17	ABBENES	NA	Unknown	Clay	A_17	953.6784184	0.149955152	-1.069623646	Middle	Middle	948.8289227	0.573034579	-0.936473918	1064.579653	0.908151733	-0.355058257
X21.17.3.H.16S_000000000.JC8YT	2019_A_17	21-17-3-H-16S	B9	21	2018-2019	Heel	16S	A	17-3-H	SON5064	JC8YT	3	17	17	Challenger	A	A_17	ABBENES	NA	Unknown	Clay	A_17	953.6784184	0.149955152	-1.069623646	Middle	Middle	948.8289227	0.573034579	-0.936473918	1064.579653	0.908151733	-0.355058257
X43.17.2.H.16S_000000000.JC8YT	2019_A_17	43-17-2-H-16S	D7	43	2018-2019	Heel	16S	A	17-2-H	SON5064	JC8YT	2	17	17	Challenger	A	A_17	ABBENES	NA	Unknown	Clay	A_17	953.6784184	0.149955152	-1.069623646	Middle	Middle	948.8289227	0.573034579	-0.936473918	1064.579653	0.908151733	-0.355058257
X177.19.1.H.16S_000000000.J9RYW	2019_A_19	177-19-1-H-16S	G9	177	2018-2019	Heel	16S	B	19-1-H	SON5195	J9RYW	1	19	19	Challenger	A	A_19	Pingjum	Grasland	Grass	Clay	A_19	1114.520058	1.592107204	-0.484946565	High	High	986.2982458	1.029679218	-0.795762379	1045.952828	0.547396585	-0.526326809
X163.19.4.H.16S_000000000.J9RYW	2019_A_19	163-19-4-H-16S	F7	163	2018-2019	Heel	16S	B	19-4-H	SON5195	J9RYW	4	19	19	Challenger	A	A_19	Pingjum	Grasland	Grass	Clay	A_19	1114.520058	1.592107204	-0.484946565	High	High	986.2982458	1.029679218	-0.795762379	1045.952828	0.547396585	-0.526326809
